epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,527.468,1.11468,0.67049,0.96531,0.84853,0.82406,0.91312,0.63043,1.13027,0.68428,0.9916,0.00177032,0.00177032,0.00177032
60,536.403,1.11229,0.6739,0.96606,0.85261,0.85714,0.92002,0.63624,1.11239,0.69834,0.99136,0.00176636,0.00176636,0.00176636
61,545.249,1.12603,0.66973,0.96815,0.86125,0.84511,0.92228,0.64339,1.09869,0.6427,0.97931,0.0017624,0.0017624,0.0017624
62,554.251,1.11088,0.67308,0.95911,0.85615,0.88607,0.93393,0.65377,1.08799,0.62269,0.97024,0.00175844,0.00175844,0.00175844
63,563.23,1.10084,0.66031,0.96054,0.82583,0.84851,0.89579,0.60918,1.11105,0.67582,0.98723,0.00175448,0.00175448,0.00175448
64,572.218,1.12824,0.6795,0.96157,0.88237,0.84511,0.92042,0.63658,1.11985,0.63671,0.98029,0.00175052,0.00175052,0.00175052
65,581.141,1.11446,0.66553,0.96578,0.86228,0.87562,0.93003,0.63742,1.12019,0.65065,0.98791,0.00174656,0.00174656,0.00174656
66,589.973,1.09758,0.66314,0.96653,0.85477,0.84361,0.90813,0.63196,1.11373,0.64786,0.98342,0.0017426,0.0017426,0.0017426
67,598.817,1.10378,0.6589,0.95863,0.87995,0.83308,0.91704,0.63498,1.13258,0.65656,0.98709,0.00173864,0.00173864,0.00173864
68,607.692,1.1118,0.67924,0.96514,0.8966,0.83308,0.92164,0.64039,1.09425,0.63023,0.96569,0.00173468,0.00173468,0.00173468
69,616.811,1.11102,0.66689,0.9597,0.90112,0.83759,0.9284,0.66053,1.08041,0.6373,0.96395,0.00173072,0.00173072,0.00173072
70,625.804,1.10333,0.65613,0.95691,0.86365,0.83308,0.91056,0.63282,1.11294,0.6608,0.97555,0.00172676,0.00172676,0.00172676
71,634.804,1.10453,0.65273,0.96144,0.88807,0.87368,0.93527,0.65534,1.10286,0.61317,0.97826,0.0017228,0.0017228,0.0017228
72,643.666,1.09204,0.65249,0.9519,0.8113,0.89224,0.92578,0.64019,1.08741,0.64994,0.9722,0.00171884,0.00171884,0.00171884
73,652.318,1.08107,0.63347,0.94477,0.89346,0.87016,0.93498,0.65476,1.09631,0.61928,0.97489,0.00171488,0.00171488,0.00171488
74,660.977,1.10603,0.66025,0.95654,0.88083,0.85263,0.93108,0.66155,1.0786,0.62291,0.96696,0.00171092,0.00171092,0.00171092
75,669.922,1.10098,0.65563,0.96407,0.87601,0.87123,0.93021,0.65584,1.09777,0.62725,0.98491,0.00170696,0.00170696,0.00170696
76,678.67,1.09728,0.66086,0.95602,0.87415,0.8565,0.935,0.65562,1.0806,0.62984,0.97133,0.001703,0.001703,0.001703
77,687.611,1.08294,0.64197,0.95063,0.8615,0.8797,0.93269,0.65155,1.10935,0.63537,0.98312,0.00169904,0.00169904,0.00169904
78,696.488,1.09386,0.64586,0.95796,0.86737,0.87525,0.9256,0.65678,1.09296,0.6225,0.97845,0.00169508,0.00169508,0.00169508
79,705.253,1.09115,0.65099,0.9519,0.86788,0.83965,0.91505,0.63989,1.09408,0.63144,0.97648,0.00169112,0.00169112,0.00169112
