epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,28.6499,1.22855,1.62566,1.15767,1.04732,0.27519,0.55072,0.35867,0.21697,0.26787,0.50725,0.31361,0.1774,1.24188,3.369,2.47906,1.10676,0.00088492,0.00088492,0.00088492
51,29.1299,1.16216,1.85819,1.07012,0.97577,0.38223,0.52174,0.31333,0.18961,0.39857,0.3913,0.28583,0.15811,1.34197,3.45204,2.39891,1.12093,0.000901,0.000901,0.000901
52,29.5682,1.11927,1.82843,1.17458,1.07339,0.38223,0.52174,0.31333,0.18961,0.39857,0.3913,0.28583,0.15811,1.34197,3.45204,2.39891,1.12093,0.000917,0.000917,0.000917
53,30.0481,1.07226,1.7128,1.1635,0.96991,0.38223,0.52174,0.31333,0.18961,0.39857,0.3913,0.28583,0.15811,1.34197,3.45204,2.39891,1.12093,0.000932922,0.000932922,0.000932922
54,30.4995,0.97395,1.33233,1.08627,1.02495,0.45043,0.42029,0.33592,0.20201,0.45043,0.42029,0.33699,0.18306,1.40952,3.19856,2.32927,1.1688,0.000948764,0.000948764,0.000948764
55,30.9457,0.99996,1.47771,1.03737,0.98775,0.45043,0.42029,0.33592,0.20201,0.45043,0.42029,0.33699,0.18306,1.40952,3.19856,2.32927,1.1688,0.000964526,0.000964526,0.000964526
56,31.4169,1.18533,1.98301,1.19161,1.12141,0.45043,0.42029,0.33592,0.20201,0.45043,0.42029,0.33699,0.18306,1.40952,3.19856,2.32927,1.1688,0.00098021,0.00098021,0.00098021
57,31.8836,1.06625,1.77186,1.05648,1.022,0.51091,0.4088,0.364,0.2161,0.47914,0.37335,0.34112,0.19739,1.35714,2.85011,2.31888,1.15846,0.000995814,0.000995814,0.000995814
58,32.3972,1.06983,1.80334,0.99918,0.98834,0.51091,0.4088,0.364,0.2161,0.47914,0.37335,0.34112,0.19739,1.35714,2.85011,2.31888,1.15846,0.00101134,0.00101134,0.00101134
59,32.9518,1.17837,2.00895,1.04522,1.02084,0.51091,0.4088,0.364,0.2161,0.47914,0.37335,0.34112,0.19739,1.35714,2.85011,2.31888,1.15846,0.00102679,0.00102679,0.00102679
60,33.5161,0.97638,1.32556,1.01982,1.03527,0.54149,0.36232,0.38635,0.24625,0.54149,0.36232,0.37628,0.228,1.34669,2.88049,2.34132,1.17581,0.00104215,0.00104215,0.00104215
61,34.0576,1.10201,1.57375,1.11808,1.00289,0.54149,0.36232,0.38635,0.24625,0.54149,0.36232,0.37628,0.228,1.34669,2.88049,2.34132,1.17581,0.00105744,0.00105744,0.00105744
62,34.5851,0.96143,1.46697,0.9243,0.97332,0.54149,0.36232,0.38635,0.24625,0.54149,0.36232,0.37628,0.228,1.34669,2.88049,2.34132,1.17581,0.00107265,0.00107265,0.00107265
63,35.1198,0.93904,1.21477,0.96463,0.98512,0.52108,0.31884,0.32267,0.19453,0.55814,0.33333,0.36143,0.18116,1.32316,2.98151,2.40696,1.22038,0.00108778,0.00108778,0.00108778
64,35.5471,0.84024,1.04496,1.02011,0.97809,0.52108,0.31884,0.32267,0.19453,0.55814,0.33333,0.36143,0.18116,1.32316,2.98151,2.40696,1.22038,0.00110283,0.00110283,0.00110283
65,36.008,1.04351,1.66232,0.98927,1.04873,0.52108,0.31884,0.32267,0.19453,0.55814,0.33333,0.36143,0.18116,1.32316,2.98151,2.40696,1.22038,0.0011178,0.0011178,0.0011178
66,36.4859,1.01919,1.46916,0.96507,1.02693,0.44291,0.34783,0.33223,0.15687,0.4826,0.28397,0.33545,0.14127,1.31966,3.02098,2.46465,1.21614,0.00113269,0.00113269,0.00113269
67,36.9119,0.93001,1.43568,0.96219,1.03211,0.44291,0.34783,0.33223,0.15687,0.4826,0.28397,0.33545,0.14127,1.31966,3.02098,2.46465,1.21614,0.0011475,0.0011475,0.0011475
68,37.329,1.0794,1.62054,1.1705,1.04133,0.44291,0.34783,0.33223,0.15687,0.4826,0.28397,0.33545,0.14127,1.31966,3.02098,2.46465,1.21614,0.00116224,0.00116224,0.00116224
69,37.8804,1.01144,1.55764,0.86585,0.95918,0.73886,0.43478,0.5195,0.28966,0.69226,0.4058,0.49908,0.25155,1.37735,3.21756,2.29861,1.21911,0.00117689,0.00117689,0.00117689
70,38.424,1.06103,1.62827,0.90505,0.96945,0.73886,0.43478,0.5195,0.28966,0.69226,0.4058,0.49908,0.25155,1.37735,3.21756,2.29861,1.21911,0.00119146,0.00119146,0.00119146
71,38.9688,0.97333,1.43649,0.91727,0.97339,0.73886,0.43478,0.5195,0.28966,0.69226,0.4058,0.49908,0.25155,1.37735,3.21756,2.29861,1.21911,0.00120596,0.00120596,0.00120596
72,39.558,1.04832,1.64446,0.95637,1.04221,0.59879,0.44928,0.43989,0.25055,0.5891,0.43478,0.41299,0.22279,1.36516,3.23231,2.23957,1.19391,0.00122038,0.00122038,0.00122038
73,39.9954,0.98144,1.52425,0.93689,1.007,0.59879,0.44928,0.43989,0.25055,0.5891,0.43478,0.41299,0.22279,1.36516,3.23231,2.23957,1.19391,0.00123471,0.00123471,0.00123471
