epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,509.373,1.10075,0.66708,0.95349,0.88512,0.85178,0.92174,0.63991,1.16447,0.6727,0.97493,0.00175052,0.00175052,0.00175052
65,517.344,1.10845,0.67019,0.95216,0.89863,0.83158,0.91849,0.63574,1.1616,0.64506,0.97491,0.00174656,0.00174656,0.00174656
66,525.24,1.10944,0.65882,0.95237,0.89214,0.84428,0.90912,0.64569,1.15884,0.6375,0.9656,0.0017426,0.0017426,0.0017426
67,533.045,1.10504,0.65771,0.95151,0.90035,0.87242,0.9284,0.64686,1.18651,0.63361,0.98614,0.00173864,0.00173864,0.00173864
68,540.956,1.09896,0.65517,0.95379,0.86997,0.85741,0.91252,0.62801,1.18553,0.64881,0.98985,0.00173468,0.00173468,0.00173468
69,548.808,1.09517,0.65897,0.95383,0.88109,0.87582,0.92926,0.64206,1.18145,0.65979,0.9804,0.00173072,0.00173072,0.00173072
70,556.545,1.08765,0.65137,0.94728,0.87647,0.84991,0.92718,0.64297,1.16561,0.66792,0.9791,0.00172676,0.00172676,0.00172676
71,564.259,1.09843,0.64466,0.95402,0.84829,0.87992,0.90616,0.6219,1.2061,0.70049,0.99205,0.0017228,0.0017228,0.0017228
72,571.969,1.126,0.66794,0.96089,0.87741,0.84596,0.91579,0.62775,1.18889,0.66457,0.98638,0.00171884,0.00171884,0.00171884
73,579.822,1.0785,0.63478,0.94333,0.90666,0.84991,0.92998,0.64744,1.14369,0.62409,0.96766,0.00171488,0.00171488,0.00171488
74,587.694,1.08383,0.64231,0.94598,0.85921,0.87617,0.92826,0.64564,1.16787,0.6391,0.98137,0.00171092,0.00171092,0.00171092
75,595.411,1.08321,0.63818,0.94071,0.85248,0.88555,0.92074,0.62738,1.16515,0.66227,0.98588,0.00170696,0.00170696,0.00170696
76,603.383,1.09222,0.65578,0.95103,0.89807,0.84428,0.92159,0.62847,1.16834,0.63542,0.98788,0.001703,0.001703,0.001703
77,611.46,1.09311,0.6493,0.94967,0.88389,0.86492,0.93333,0.64914,1.157,0.6376,0.97159,0.00169904,0.00169904,0.00169904
78,619.521,1.07769,0.63794,0.94324,0.86481,0.88555,0.92868,0.64633,1.14019,0.64036,0.96259,0.00169508,0.00169508,0.00169508
79,627.481,1.08443,0.6372,0.94482,0.88206,0.82784,0.91331,0.62334,1.18352,0.67059,0.98941,0.00169112,0.00169112,0.00169112
80,635.434,1.07348,0.63297,0.93577,0.87165,0.86116,0.92237,0.64065,1.17386,0.6373,0.9833,0.00168716,0.00168716,0.00168716
81,643.298,1.08894,0.63695,0.94642,0.86333,0.88368,0.92648,0.6409,1.16445,0.62392,0.98236,0.0016832,0.0016832,0.0016832
82,651.142,1.06652,0.63244,0.94674,0.8353,0.88743,0.91106,0.62218,1.16558,0.65902,0.98265,0.00167924,0.00167924,0.00167924
83,658.993,1.07536,0.63383,0.94436,0.85618,0.87118,0.92793,0.6397,1.16645,0.62869,0.98009,0.00167528,0.00167528,0.00167528
84,666.776,1.08357,0.62999,0.94206,0.88199,0.86492,0.92598,0.6396,1.19851,0.66624,0.99514,0.00167132,0.00167132,0.00167132
85,674.787,1.07881,0.62716,0.94535,0.88862,0.8818,0.93747,0.65413,1.1602,0.62233,0.96656,0.00166736,0.00166736,0.00166736
86,682.746,1.08379,0.64212,0.94499,0.86991,0.86564,0.91936,0.63641,1.19073,0.64778,0.98663,0.0016634,0.0016634,0.0016634
87,690.551,1.07656,0.63081,0.94077,0.84926,0.88787,0.92476,0.64291,1.18713,0.6351,0.9866,0.00165944,0.00165944,0.00165944
88,698.368,1.0741,0.63702,0.94557,0.83578,0.9071,0.93498,0.63986,1.16121,0.62769,0.97033,0.00165548,0.00165548,0.00165548
89,706.056,1.08249,0.62521,0.94548,0.86023,0.88368,0.93002,0.64179,1.1841,0.62055,0.97292,0.00165152,0.00165152,0.00165152
90,713.783,1.08031,0.63916,0.94224,0.86728,0.88277,0.92949,0.64316,1.16484,0.603,0.97859,0.00164756,0.00164756,0.00164756
91,721.564,1.06586,0.6166,0.93924,0.85504,0.87805,0.92708,0.64178,1.17097,0.62024,0.98415,0.0016436,0.0016436,0.0016436
92,729.63,1.0875,0.619,0.94362,0.88264,0.90302,0.94716,0.64998,1.15765,0.60274,0.97223,0.00163964,0.00163964,0.00163964
93,737.363,1.06106,0.6107,0.934,0.87428,0.83504,0.91962,0.64352,1.15891,0.61867,0.9756,0.00163568,0.00163568,0.00163568
94,745.071,1.04905,0.61841,0.9392,0.89341,0.83346,0.92006,0.63366,1.15875,0.62973,0.97605,0.00163172,0.00163172,0.00163172
95,753.435,1.07453,0.61998,0.94351,0.89841,0.82958,0.92009,0.63299,1.17368,0.66244,0.98792,0.00162776,0.00162776,0.00162776
96,761.262,1.06291,0.60723,0.93559,0.85304,0.8818,0.92867,0.65602,1.17752,0.62909,0.98134,0.0016238,0.0016238,0.0016238
97,769.17,1.0585,0.61235,0.94442,0.88799,0.82739,0.91883,0.64451,1.16546,0.61668,0.98483,0.00161984,0.00161984,0.00161984
98,776.969,1.06616,0.60827,0.9414,0.87948,0.84991,0.91199,0.63389,1.14538,0.63933,0.9664,0.00161588,0.00161588,0.00161588
99,784.936,1.05362,0.61212,0.93642,0.85964,0.87805,0.9262,0.64205,1.15937,0.6249,0.97036,0.00161192,0.00161192,0.00161192
100,792.911,1.05843,0.60963,0.93463,0.90486,0.86679,0.94055,0.65467,1.15918,0.61355,0.96078,0.00160796,0.00160796,0.00160796
101,800.815,1.06145,0.60968,0.93818,0.87922,0.86039,0.91707,0.64567,1.17873,0.60298,0.9773,0.001604,0.001604,0.001604
102,808.757,1.06084,0.61664,0.93723,0.87132,0.86679,0.91318,0.63792,1.15007,0.60973,0.97422,0.00160004,0.00160004,0.00160004
103,816.704,1.07049,0.61026,0.93545,0.85609,0.88169,0.92563,0.64546,1.16813,0.5963,0.97659,0.00159608,0.00159608,0.00159608
104,824.65,1.06973,0.60993,0.94642,0.86564,0.85824,0.91717,0.64203,1.15612,0.61554,0.97802,0.00159212,0.00159212,0.00159212
105,832.651,1.0606,0.60529,0.93093,0.88509,0.86709,0.92412,0.64854,1.17527,0.61681,0.97278,0.00158816,0.00158816,0.00158816
106,840.598,1.05612,0.59755,0.93388,0.89715,0.8424,0.93458,0.64996,1.16341,0.60575,0.96843,0.0015842,0.0015842,0.0015842
107,848.809,1.05651,0.60372,0.93464,0.88686,0.85366,0.92815,0.64747,1.19124,0.62771,0.97384,0.00158024,0.00158024,0.00158024
108,857.027,1.04664,0.60117,0.94021,0.85306,0.86304,0.91379,0.64427,1.16646,0.61097,0.97221,0.00157628,0.00157628,0.00157628
109,865.036,1.05247,0.60835,0.9332,0.87785,0.87242,0.91077,0.64184,1.16204,0.61762,0.97929,0.00157232,0.00157232,0.00157232
110,873.357,1.06378,0.60927,0.94221,0.89064,0.85366,0.93103,0.65467,1.15302,0.63432,0.95803,0.00156836,0.00156836,0.00156836
111,881.574,1.04812,0.60117,0.92964,0.90858,0.85929,0.93482,0.64925,1.17433,0.6055,0.96912,0.0015644,0.0015644,0.0015644
112,889.641,1.04671,0.5938,0.93343,0.89374,0.84991,0.92445,0.64694,1.17773,0.60951,0.97964,0.00156044,0.00156044,0.00156044
113,897.918,1.04488,0.59727,0.93163,0.88816,0.86416,0.92751,0.64865,1.16846,0.60141,0.97937,0.00155648,0.00155648,0.00155648
114,906.092,1.03581,0.60104,0.93169,0.90296,0.83801,0.91835,0.64603,1.14682,0.63565,0.9633,0.00155252,0.00155252,0.00155252
115,913.986,1.05462,0.60934,0.93273,0.91005,0.84615,0.92552,0.6577,1.15086,0.59027,0.97353,0.00154856,0.00154856,0.00154856
116,922.605,1.04167,0.59616,0.93226,0.86569,0.87617,0.91426,0.64636,1.15669,0.59371,0.97563,0.0015446,0.0015446,0.0015446
117,930.975,1.05424,0.59855,0.93871,0.85162,0.88743,0.9135,0.64587,1.15316,0.59638,0.97513,0.00154064,0.00154064,0.00154064
118,939.148,1.03623,0.5952,0.92894,0.8977,0.85607,0.92718,0.65206,1.17042,0.59071,0.97096,0.00153668,0.00153668,0.00153668
